datetime,value
2014-01-01,140273.2109122575
2014-02-01,146312.3280298174
2014-03-01,128868.69245694017
2014-04-01,113106.19201721689
2014-05-01,113593.90625514403
2014-06-01,127944.21524667689
2014-07-01,140372.97386640013
2014-08-01,127114.6289544695
2014-09-01,131856.48983041386
2014-10-01,121165.68118823433
2014-11-01,121931.5398227474
2014-12-01,122435.87993075339
2015-01-01,140183.7945247364
2015-02-01,136155.23655336833
2015-03-01,119489.67976909649
2015-04-01,120566.37491462602
2015-05-01,127015.79521455376
2015-06-01,138450.52783580817
2015-07-01,148667.37950921775
2015-08-01,139114.06529667982
2015-09-01,124776.38320050125
2015-10-01,121736.89632879656
2015-11-01,141669.3353026534
2015-12-01,143471.00106624246
2016-01-01,155104.49207439896
2016-02-01,151732.7534545613
2016-03-01,129902.23235714583
2016-04-01,127654.17818796993
2016-05-01,122351.73038275194
2016-06-01,128617.0011546339
2016-07-01,141954.4484679393
2016-08-01,135545.33376266342
2016-09-01,130813.7667419328
2016-10-01,129823.61524721037
2016-11-01,149723.30983038348
2016-12-01,130564.26067648469
2017-01-01,124125.93585277777
2017-02-01,136214.09606080843
2017-03-01,118789.87767156759
2017-04-01,115466.76732749875
2017-05-01,106901.02707315085
2017-06-01,108930.8533384224
2017-07-01,141576.95759938456
2017-08-01,151967.9445169082
2017-09-01,140779.6174860051
2017-10-01,126464.3040884597
2017-11-01,141491.0355727124
2017-12-01,143350.01018148675
2018-01-01,154693.5118971284
2018-02-01,147716.24180177777
2018-03-01,139199.9709401239
2018-04-01,135085.81160618953
2018-05-01,136727.85702537824
2018-06-01,137405.49811562712
2018-07-01,141266.4538567425
2018-08-01,131430.74318918042
2018-09-01,130858.67981134434
2018-10-01,120531.58446341079
2018-11-01,131401.77112952055
2018-12-01,128491.8294890511
